starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 24 17:58:18 2021	1637751498	1	2	3	2
Wed Nov 24 17:58:18 2021	1637751498	1	2	4	2
Wed Nov 24 17:58:18 2021	1637751498	2	3	5	3
Wed Nov 24 17:58:18 2021	1637751498	1	4	5	4
Wed Nov 24 17:58:18 2021	1637751498	2	4	5	4
Wed Nov 24 17:58:18 2021	1637751498	0	5	5	1
Wed Nov 24 17:58:18 2021	1637751498	3	2	6	2
Wed Nov 24 17:58:18 2021	1637751498	1	5	7	5
Wed Nov 24 17:58:18 2021	1637751498	3	4	7	4
Wed Nov 24 17:58:18 2021	1637751498	2	6	7	5
Wed Nov 24 17:58:18 2021	1637751498	2	7	8	7
Wed Nov 24 17:58:18 2021	1637751498	2	7	9	7
Wed Nov 24 17:58:18 2021	1637751498	2	8	10	8
Wed Nov 24 17:58:18 2021	1637751498	2	8	10	8
Wed Nov 24 17:58:18 2021	1637751498	2	8	10	8
Wed Nov 24 17:58:18 2021	1637751498	3	7	10	7
Wed Nov 24 17:58:18 2021	1637751498	2	9	11	9
Wed Nov 24 17:58:18 2021	1637751498	2	9	12	9
Wed Nov 24 17:58:18 2021	1637751498	3	9	12	9
Wed Nov 24 17:58:18 2021	1637751498	3	9	12	9
Wed Nov 24 17:58:18 2021	1637751498	4	8	12	8
Wed Nov 24 17:58:18 2021	1637751498	2	11	13	11
Wed Nov 24 17:58:18 2021	1637751498	2	11	13	10
Wed Nov 24 17:58:18 2021	1637751498	2	11	13	11
Wed Nov 24 17:58:18 2021	1637751498	3	10	13	10
Wed Nov 24 17:58:18 2021	1637751498	2	11	14	11
Wed Nov 24 17:58:18 2021	1637751498	2	12	14	12
Wed Nov 24 17:58:18 2021	1637751498	2	12	14	12
Wed Nov 24 17:58:18 2021	1637751498	3	12	14	12
Wed Nov 24 17:58:18 2021	1637751498	3	12	15	12
Wed Nov 24 17:58:19 2021	1637751499	0	15	15	15
Wed Nov 24 17:58:19 2021	1637751499	0	15	15	14
Wed Nov 24 17:58:19 2021	1637751499	0	15	15	15
Wed Nov 24 17:58:18 2021	1637751498	2	13	15	13
Wed Nov 24 17:58:19 2021	1637751499	0	15	15	15
Wed Nov 24 17:58:19 2021	1637751499	0	15	15	15
Wed Nov 24 17:58:18 2021	1637751498	2	13	15	13
Wed Nov 24 17:58:19 2021	1637751499	0	15	15	15
Wed Nov 24 17:58:18 2021	1637751498	2	13	15	13
Wed Nov 24 17:58:18 2021	1637751498	4	11	15	11
Wed Nov 24 17:58:18 2021	1637751498	2	13	15	13
Wed Nov 24 17:58:18 2021	1637751498	3	13	16	13
Wed Nov 24 17:58:19 2021	1637751499	0	15	16	15
Wed Nov 24 17:58:19 2021	1637751499	0	16	16	16
Wed Nov 24 17:58:19 2021	1637751499	0	16	16	16
Wed Nov 24 17:58:19 2021	1637751499	0	16	16	16
Wed Nov 24 17:58:18 2021	1637751498	4	12	16	12
Wed Nov 24 17:58:19 2021	1637751499	0	16	16	16
Wed Nov 24 17:58:19 2021	1637751499	0	16	16	16
Wed Nov 24 17:58:19 2021	1637751499	0	16	16	16
