starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 24 17:56:11 2021	1637751371	0	7	7	1
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	9	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	10	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	10	9
Wed Nov 24 17:56:11 2021	1637751371	0	9	10	9
Wed Nov 24 17:56:11 2021	1637751371	0	10	10	10
Wed Nov 24 17:56:11 2021	1637751371	0	10	10	10
Wed Nov 24 17:56:11 2021	1637751371	0	10	10	10
Wed Nov 24 17:56:11 2021	1637751371	0	10	10	10
Wed Nov 24 17:56:11 2021	1637751371	0	10	10	10
Wed Nov 24 17:56:11 2021	1637751371	0	10	11	10
Wed Nov 24 17:56:11 2021	1637751371	0	10	11	10
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	11	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	12	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	12	11
Wed Nov 24 17:56:11 2021	1637751371	0	11	12	11
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	11	12	11
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	12	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	12	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	12
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	1	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	13	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
